-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Observed    |  Rel. |    Aki     | Acc. |      Ei           Ek      |      Lower level       |       Upper level       |  gi   gk  |Type|             TP  |   Line  |
   Wavelength   |  Int. |   (s^-1)   |      |    (cm-1)       (cm-1)    |------------------------|-------------------------|           |    |            Ref. |   Ref.  |
    Air (nm)    |       |            |      |                           | Conf.     | Term | J   | Conf.     | Term  | J   |           |    |                 |         |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Wavelength    |  Rel  |    Aki     | Acc  |              Ei - Ek      | L Conf    |L Term| L J | U Conf    |U Term | U J |   gi - gk |Type|           TP    |   Line  |
       363.097  |    14 | 1.53e+07   | C+   |  15210.063  -   42743.002 | 3p6.4s.4p | 3P*  | 1   | 3p6.4s.5d | 3D    | 1   |   3 - 3   |    |  T539n,T654n,LS |  L6097  |
       364.441  |    20 | 3.55e+07   | C+   |  15315.943  -   42747.387 | 3p6.4s.4p | 3P*  | 2   | 3p6.4s.5d | 3D    | 3   |   5 - 7   |    |  T539n,T654n,LS |  L6097  |
       364.477  |    14 | 9.4e+06    | C+   |  15315.943  -   42744.716 | 3p6.4s.4p | 3P*  | 2   | 3p6.4s.5d | 3D    | 2   |   5 - 5   |    |  T539n,T654n,LS |  L6097  |
       364.499  |     8 | 9.5e+05    | C+   |  15315.943  -   42743.002 | 3p6.4s.4p | 3P*  | 2   | 3p6.4s.5d | 3D    | 1   |   5 - 3   |    |  T539n,T654n,LS |  L6097  |
       367.529  |     5 | 2.2e+06    | D    |  20349.260  -   47550.271 | 3p6.3d.4s | 3D   | 2   | 3p6.4s.8f | 3F*   | 3   |   5 - 7   |    |        T539n,LS |  L6097  |
       367.821  |     6 | 2.3e+06    | D    |  20371.000  -   47550.371 | 3p6.3d.4s | 3D   | 3   | 3p6.4s.8f | 3F*   | 4   |   7 - 9   |    |        T539n,LS |  L6097  |
       374.835  |     6 | 3.4e+06    | D    |  20335.360  -   47006.194 | 3p6.3d.4s | 3D   | 1   | 3p6.4s.7f | 3F*   | 2   |   3 - 5   |    |        T539n,LS |  L6097  |
       375.029  |     8 | 3.4e+06    | D    |  20349.260  -   47006.280 | 3p6.3d.4s | 3D   | 2   | 3p6.4s.7f | 3F*   | 3   |   5 - 7   |    |        T539n,LS |  L6097  |
       375.334  |     9 | 4.1e+06    | D    |  20371.000  -   47006.400 | 3p6.3d.4s | 3D   | 3   | 3p6.4s.7f | 3F*   | 4   |   7 - 9   |    |        T539n,LS |  L6097  |
       387.048  |     9 | 7.2e+06    | D    |  20335.360  -   46164.644 | 3p6.3d.4s | 3D   | 1   | 3p6.4s.6f | 3F*   | 2   |   3 - 5   |    |           T539n |  L6097  |
       387.254  |    11 | 5.4e+06    | D    |  20349.260  -   46164.785 | 3p6.3d.4s | 3D   | 2   | 3p6.4s.6f | 3F*   | 3   |   5 - 7   |    |        T539n,LS |  L6097  |
       387.256  |    11 | 9.8e+05    | D    |  20349.260  -   46164.644 | 3p6.3d.4s | 3D   | 2   | 3p6.4s.6f | 3F*   | 2   |   5 - 5   |    |        T539n,LS |  L6097  |
       387.578  |    12 | 7.9e+06    | D    |  20371.000  -   46164.971 | 3p6.3d.4s | 3D   | 3   | 3p6.4s.6f | 3F*   | 4   |   7 - 9   |    |        T539n,LS |  L6097  |
       387.580  |    12 | 8.9e+05    | D    |  20371.000  -   46164.785 | 3p6.3d.4s | 3D   | 3   | 3p6.4s.6f | 3F*   | 3   |   7 - 7   |    |        T539n,LS |  L6097  |
       388.910  |     6 |            |      |                           |           |      |     |           |       |     |           |    |                 |  L6097  |
       392.348  |     6 |            |      |                           |           |      |     |           |       |     |           |    |                 |  L6097  |
       393.529  |     9 |            |      |                           |           |      |     |           |       |     |           |    |                 |  L6097  |
       394.604  |     6 |            |      |                           |           |      |     |           |       |     |           |    |                 |  L6097  |
       394.890  |    15 | 3.34e+06   | C    |  15157.901  -   40474.241 | 3p6.4s.4p | 3P*  | 0   | 3p6.4s.6s | 3S    | 1   |   1 - 3   |    |     T539n,T654n |  L6097  |
       395.705  |    17 | 9.8e+06    | C    |  15210.063  -   40474.241 | 3p6.4s.4p | 3P*  | 1   | 3p6.4s.6s | 3S    | 1   |   3 - 3   |    |     T539n,T654n |  L6097  |
       397.257  |     8 |            |      |                           |           |      |     |           |       |     |           |    |                 |  L6097  |
       397.371  |    18 | 1.75e+07   | C    |  15315.943  -   40474.241 | 3p6.4s.4p | 3P*  | 2   | 3p6.4s.6s | 3S    | 1   |   5 - 3   |    |     T539n,T654n |  L6097  |
       409.853  |    15 | 1.3e+07    | D    |  20371.000  -   44763.118 | 3p6.3d.4s | 3D   | 3   | 3p6.4s.5f | 3F*   | 4   |   7 - 9   |    |           T539n |  L6097  |
       409.857  |    15 | 1.5e+06    | D    |  20371.000  -   44762.839 | 3p6.3d.4s | 3D   | 3   | 3p6.4s.5f | 3F*   | 3   |   7 - 7   |    |        T539n,LS |  L6097  |
       422.673  |    50 | 2.18e+08   | B+   |      0.000  -   23652.304 | 3p6.4s2   | 1S   | 0   | 3p6.4s.4p | 1P*   | 1   |   1 - 3   |    | T876,T1110,T859 |  L6097  |
       424.046  |    15 |            |      |                           |           |      |     |           |       |     |           |    |                 |  L6097  |
       428.301  |    24 | 4.34e+07   | C+   |  15210.063  -   38551.558 | 3p6.4s.4p | 3P*  | 1   | 3p6.4p2   | 3P    | 2   |   3 - 5   |    |  T539n,T654n,LS |  L6097  |
       428.936  |    22 | 6.0e+07    | C+   |  15157.901  -   38464.808 | 3p6.4s.4p | 3P*  | 0   | 3p6.4p2   | 3P    | 1   |   1 - 3   |    |  T539n,T654n,LS |  L6097  |
       429.899  |    22 | 4.66e+07   | C+   |  15210.063  -   38464.808 | 3p6.4s.4p | 3P*  | 1   | 3p6.4p2   | 3P    | 1   |   3 - 3   |    |  T539n,T654n,LS |  L6097  |
       430.253  |    25 | 1.36e+08   | C+   |  15315.943  -   38551.558 | 3p6.4s.4p | 3P*  | 2   | 3p6.4p2   | 3P    | 2   |   5 - 5   |    |  T539n,T654n,LS |  L6097  |
       430.774  |    23 | 1.99e+08   | C+   |  15210.063  -   38417.543 | 3p6.4s.4p | 3P*  | 1   | 3p6.4p2   | 3P    | 0   |   3 - 1   |    |  T539n,T654n,LS |  L6097  |
       431.865  |    22 | 7.4e+07    | C+   |  15315.943  -   38464.808 | 3p6.4s.4p | 3P*  | 2   | 3p6.4p2   | 3P    | 1   |   5 - 3   |    |  T539n,T654n,LS |  L6097  |
       435.508  |    20 | 1.9e+07    | D    |  21849.634  -   44804.878 | 3p6.3d.4s | 1D   | 2   | 3p6.4s.5f | 1F*   | 3   |   5 - 7   |    |           T539n |  L6097  |
       442.544  |    25 | 4.98e+07   | C    |  15157.901  -   37748.197 | 3p6.4s.4p | 3P*  | 0   | 3p6.4s.4d | 3D    | 1   |   1 - 3   |    |           T8043 |  L6097  |
       443.496  |    26 | 6.7e+07    | C    |  15210.063  -   37751.867 | 3p6.4s.4p | 3P*  | 1   | 3p6.4s.4d | 3D    | 2   |   3 - 5   |    |           T8043 |  L6097  |
       443.569  |    25 | 3.42e+07   | C    |  15210.063  -   37748.197 | 3p6.4s.4p | 3P*  | 1   | 3p6.4s.4d | 3D    | 1   |   3 - 3   |    |           T8043 |  L6097  |
       445.478  |    30 | 8.7e+07    | C    |  15315.943  -   37757.449 | 3p6.4s.4p | 3P*  | 2   | 3p6.4s.4d | 3D    | 3   |   5 - 7   |    |           T8043 |  L6097  |
       445.589  |    28 | 2.0e+07    | C    |  15315.943  -   37751.867 | 3p6.4s.4p | 3P*  | 2   | 3p6.4s.4d | 3D    | 2   |   5 - 5   |    |           T8043 |  L6097  |
       445.661  |    20 | 2.45e+06   | C+   |  15315.943  -   37748.197 | 3p6.4s.4p | 3P*  | 2   | 3p6.4s.4d | 3D    | 1   |   5 - 3   |    |  T539n,T654n,LS |  L6097  |
       452.694  |    23 | 4.1e+07    | D    |  21849.634  -   43933.477 | 3p6.3d.4s | 1D   | 2   | 3p6.4s.np | w 1P* | 1   |   5 - 3   |    |           T539n |  L6097  |
       457.855  |    22 | 1.76e+07   | C    |  20335.360  -   42170.214 | 3p6.3d.4s | 3D   | 1   | 3p6.4s.4f | 3F*   | 2   |   3 - 5   |    |        T539n,LS |  L6097  |
       458.140  |    23 | 2.09e+07   | C    |  20349.260  -   42170.558 | 3p6.3d.4s | 3D   | 2   | 3p6.4s.4f | 3F*   | 3   |   5 - 7   |    |        T539n,LS |  L6097  |
       458.147  |    23 | 3.5e+06    | D    |  20349.260  -   42170.214 | 3p6.3d.4s | 3D   | 2   | 3p6.4s.4f | 3F*   | 2   |   5 - 5   |    |   T539n,T866,LS |  L6097  |
       458.587  |    24 | 2.29e+07   | C    |  20371.000  -   42171.026 | 3p6.3d.4s | 3D   | 3   | 3p6.4s.4f | 3F*   | 4   |   7 - 9   |    |        T539n,LS |  L6097  |
       458.596  |    24 | 2.5e+06    | D    |  20371.000  -   42170.558 | 3p6.3d.4s | 3D   | 3   | 3p6.4s.4f | 3F*   | 3   |   7 - 7   |    |   T539n,T866,LS |  L6097  |
       468.527  |    20 | 8.0e+06    | D    |  23652.304  -   44989.830 | 3p6.4s.4p | 1P*  | 1   | 3p6.4s.6d | 1D    | 2   |   3 - 5   |    |            T866 |  L6097  |
       487.813  |    25 | 1.88e+07   | C    |  21849.634  -   42343.587 | 3p6.3d.4s | 1D   | 2   | 3p6.4s.4f | 1F*   | 3   |   5 - 7   |    |           T1338 |  L6097  |
       504.162  |    23 | 3.3e+07    | D    |  21849.634  -   41679.008 | 3p6.3d.4s | 1D   | 2   | 3p6.4s.6p | 1P*   | 1   |   5 - 3   |    |            T866 |  L6097  |
       518.885  |    25 | 4.0e+07    | D    |  23652.304  -   42919.053 | 3p6.4s.4p | 1P*  | 1   | 3p6.4s.5d | 1D    | 2   |   3 - 5   |    |            T866 |  L6097  |
       526.171  |    22 | 1.5e+07    | D    |  20335.360  -   39335.322 | 3p6.3d.4s | 3D   | 1   | 3p6.3d.4p | 3P*   | 1   |   3 - 3   |    |          T866LS |  L6097  |
       526.224  |    23 | 6.0e+07    | D    |  20335.360  -   39333.382 | 3p6.3d.4s | 3D   | 1   | 3p6.3d.4p | 3P*   | 0   |   3 - 1   |    |          T866LS |  L6097  |
       526.424  |    22 | 9.1e+06    | D    |  20349.260  -   39340.080 | 3p6.3d.4s | 3D   | 2   | 3p6.3d.4p | 3P*   | 2   |   5 - 5   |    |          T866LS |  L6097  |
       526.556  |    24 | 4.4e+07    | D    |  20349.260  -   39335.322 | 3p6.3d.4s | 3D   | 2   | 3p6.3d.4p | 3P*   | 1   |   5 - 3   |    |          T866LS |  L6097  |
       527.027  |    25 | 5.0e+07    | D    |  20371.000  -   39340.080 | 3p6.3d.4s | 3D   | 3   | 3p6.3d.4p | 3P*   | 2   |   7 - 5   |    |          T866LS |  L6097  |
       534.947  |    27 |            |      |  21849.634  -   40537.893 | 3p6.3d.4s | 1D   | 2   | 3p6.3d.4p | 1F*   | 3   |   5 - 7   |    |                 |  L6097  |
       551.298  |    23 | 1.1e+08    | E    |  23652.304  -   41786.276 | 3p6.4s.4p | 1P*  | 1   | 3p6.4p2   | 1S    | 0   |   3 - 1   |    |           T539n |  L6097  |
       558.197  |    25 | 6.0e+06    | D    |  20349.260  -   38259.124 | 3p6.3d.4s | 3D   | 2   | 3p6.3d.4p | 3D*   | 3   |   5 - 7   |    |          T866LS |  L6097  |
       558.876  |    27 | 4.9e+07    | D    |  20371.000  -   38259.124 | 3p6.3d.4s | 3D   | 3   | 3p6.3d.4p | 3D*   | 3   |   7 - 7   |    |          T866LS |  L6097  |
       559.012  |    24 | 8.3e+06    | D    |  20335.360  -   38219.118 | 3p6.3d.4s | 3D   | 1   | 3p6.3d.4p | 3D*   | 2   |   3 - 5   |    |          T866LS |  L6097  |
       559.447  |    26 | 3.8e+07    | D    |  20349.260  -   38219.118 | 3p6.3d.4s | 3D   | 2   | 3p6.3d.4p | 3D*   | 2   |   5 - 5   |    |          T866LS |  L6097  |
       559.849  |    25 | 4.3e+07    | D    |  20335.360  -   38192.392 | 3p6.3d.4s | 3D   | 1   | 3p6.3d.4p | 3D*   | 1   |   3 - 3   |    |          T866LS |  L6097  |
       560.129  |    24 | 8.6e+06    | D    |  20371.000  -   38219.118 | 3p6.3d.4s | 3D   | 3   | 3p6.3d.4p | 3D*   | 2   |   7 - 5   |    |          T866LS |  L6097  |
       560.285  |    24 | 1.4e+07    | D    |  20349.260  -   38192.392 | 3p6.3d.4s | 3D   | 2   | 3p6.3d.4p | 3D*   | 1   |   5 - 3   |    |          T866LS |  L6097  |
       585.745  |    30 | 6.6e+07    | D    |  23652.304  -   40719.847 | 3p6.4s.4p | 1P*  | 1   | 3p6.4p2   | 1D    | 2   |   3 - 5   |    |            T866 |  L6097  |
       610.272  |    27 | 9.6e+06    | C    |  15157.901  -   31539.495 | 3p6.4s.4p | 3P*  | 0   | 3p6.4s.5s | 3S    | 1   |   1 - 3   |    |           T8043 |  L6097  |
       612.222  |    29 | 2.87e+07   | C    |  15210.063  -   31539.495 | 3p6.4s.4p | 3P*  | 1   | 3p6.4s.5s | 3S    | 1   |   3 - 3   |    |           T8043 |  L6097  |
       616.129  |    22 | 3.3e+06    | D    |  20349.260  -   36575.119 | 3p6.3d.4s | 3D   | 2   | 3p6.4s.5p | 3P*   | 2   |   5 - 5   |    |          T866LS |  L6097  |
       616.217  |    30 | 4.77e+07   | C    |  15315.943  -   31539.495 | 3p6.4s.4p | 3P*  | 2   | 3p6.4s.5s | 3S    | 1   |   5 - 3   |    |           T8043 |  L6097  |
       616.376  |    22 | 5.6e+06    | D    |  20335.360  -   36554.749 | 3p6.3d.4s | 3D   | 1   | 3p6.4s.5p | 3P*   | 1   |   3 - 3   |    |          T866LS |  L6097  |
       616.644  |    24 | 2.2e+07    | D    |  20335.360  -   36547.688 | 3p6.3d.4s | 3D   | 1   | 3p6.4s.5p | 3P*   | 0   |   3 - 1   |    |          T866LS |  L6097  |
       616.906  |    26 | 1.7e+07    | D    |  20349.260  -   36554.749 | 3p6.3d.4s | 3D   | 2   | 3p6.4s.5p | 3P*   | 1   |   5 - 3   |    |          T866LS |  L6097  |
       616.956  |    28 | 1.9e+07    | D    |  20371.000  -   36575.119 | 3p6.3d.4s | 3D   | 3   | 3p6.4s.5p | 3P*   | 2   |   7 - 5   |    |          T866LS |  L6097  |
       643.907  |    35 | 5.3e+07    | D    |  20371.000  -   35896.889 | 3p6.3d.4s | 3D   | 3   | 3p6.3d.4p | 3F*   | 4   |   7 - 9   |    |          T866LS |  L6097  |
       644.981  |    30 | 9.0e+06    | D    |  20335.360  -   35835.413 | 3p6.3d.4s | 3D   | 1   | 3p6.3d.4p | 1D*   | 2   |   3 - 5   |    |            T866 |  L6097  |
       645.560  |    22 | 1.4e+06    | E    |  20349.260  -   35835.413 | 3p6.3d.4s | 3D   | 2   | 3p6.3d.4p | 1D*   | 2   |   5 - 5   |    |           T539n |  L6097  |
       646.257  |    34 | 4.7e+07    | D    |  20349.260  -   35818.713 | 3p6.3d.4s | 3D   | 2   | 3p6.3d.4p | 3F*   | 3   |   5 - 7   |    |          T866LS |  L6097  |
       647.166  |    29 | 5.9e+06    | D    |  20371.000  -   35818.713 | 3p6.3d.4s | 3D   | 3   | 3p6.3d.4p | 3F*   | 3   |   7 - 7   |    |          T866LS |  L6097  |
       649.378  |    32 | 4.4e+07    | D    |  20335.360  -   35730.454 | 3p6.3d.4s | 3D   | 1   | 3p6.3d.4p | 3F*   | 2   |   3 - 5   |    |          T866LS |  L6097  |
       649.965  |    28 | 8.1e+06    | D    |  20349.260  -   35730.454 | 3p6.3d.4s | 3D   | 2   | 3p6.3d.4p | 3F*   | 2   |   5 - 5   |    |          T866LS |  L6097  |
       657.278  |    23 | 2.6e+03    | D+   |      0.000  -   15210.063 | 3p6.4s2   | 1S   | 0   | 3p6.4s.4p | 3P*   | 1   |   1 - 3   |    |             T67 |  L6097  |
       671.769  |    30 | 1.2e+07    | E    |  21849.634  -   36731.615 | 3p6.3d.4s | 1D   | 2   | 3p6.4s.5p | 1P*   | 1   |   5 - 3   |    |           T539n |  L6097  |
       714.815  |    33 |            |      |                           |           |      |     |           |       |     |           |    |                 |  L6097  |
       720.219  |    31 |            |      |                           |           |      |     |           |       |     |           |    |                 |  L6097  |
       732.615  |    33 |            |      |                           |           |      |     |           |       |     |           |    |                 |  L6097  |
